id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1235057546810904577,@akshaykumar kapil sharma show 🤔,akshaykumar kapil sharma show,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,janai baksha hooghly india,
1235056555722018822,@akshaykumar The Kapil Sharma Show as Always 😉😉,akshaykumar The Kapil Sharma Show Always,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"New Delhi, India",
1235055904740896769,The Kapil Sharma Show fame Sumona Chakravarti is a diva in real life Photogallery - ETimes https://t.co/OY5jr4VzCv,The Kapil Sharma Show fame Sumona Chakravarti diva real life Photogallery ETimes,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",0.2,0.30000000000000004,en,chathannoor,
1235055900370460677,@akshaykumar Kapil sharma show,akshaykumar Kapil sharma show,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,"Jaipur, India",
1235054938889179138,@akshaykumar The kapil sharma show..,akshaykumar The kapil sharma show..,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Chennai, India",
1235054895218061313,@akshaykumar The kapil sharma show,akshaykumar The kapil sharma show,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1235054885386588160,@akshaykumar The Kapil Sharma show . Lovely place,akshaykumar The Kapil Sharma show Lovely place,"Sentiment(polarity=0.5, subjectivity=0.75)",0.5,0.75,en,Delhi,
1235054712719695872,@akshaykumar Kapil sharma show aur kaha,Akshykumar Kapil Sharma show and,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,tl,"Ranchi, India",
1235054231687589888,@pranjultweet Pura ram darbar aya hai Kapil Sharma k show me (except Hanuman ji),Pranjltwit meet Rama came court Kapil Sharma's show accept Hanuman,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,Delhi,
1235054095909580800,@akshaykumar The Kapil Sharma Show,akshaykumar The Kapil Sharma Show,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1235052043489796096,@akshaykumar Kapil SHARMA show,akshaykumar Kapil SHARMA show,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,,
1235050422361919489,@akshaykumar Kapil Sharma show,akshaykumar Kapil Sharma show,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,,
1235050101686415361,@akshaykumar The Kapil Sharma Show,akshaykumar The Kapil Sharma Show,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1235049355628826624,@KapilSharmaK9 Dear brother I want to see your live show @the Kapil Sharma show but no idea how to arrange ticket p… https://t.co/yBJNaglGV8,KapilSharmaK9 Dear brother I want see live show Kapil Sharma show idea arrange ticket p,"Sentiment(polarity=0.13636363636363635, subjectivity=0.5)",0.13636363636363635,0.5,en,"Gurgaon, India",
1235048450103762944,"The #KapilSharmaShow fame #SumonaChakravarti is a diva in real life
For more: https://t.co/rkLMSuddb9 https://t.co/vwsgmaBfd4",The KapilSharmaShow fame SumonaChakravarti diva real life For,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",0.2,0.30000000000000004,en,,
