id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1250093290411548672,"वकील प्रशांत भूषण समेत 3 के खिलाफ मुकदमा दर्ज: रामायण-महाभारत के प्रसारण पर की थी अपमानजनक टिप्पणी।
#रामायण… https://t.co/kQ9pfleZID",3,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,भारत वर्ष,
1250093252608282627,"Modiji hasn't watched Ramayana's morning episode ... 
That's why a repeat Telecast is there 😖😖😂",Modiji n't watched Ramayana 's morning episode ... That 's repeat Telecast,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1250093241342365696,@DDNational Completely unacceptable to repeat same episode shown today morning. Who are these people who demanded a… https://t.co/rLiUMAcrqS,DDNational Completely unacceptable repeat episode shown today morning Who people demanded,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,en,India,
1250093230751772673,"When seniors from both sides were challenging each other in ""Ramayana"", all the juniors were playing ""Dandiya"" in t… https://t.co/F8eqt2tViL",When seniors sides challenging `` Ramayana '' juniors playing `` Dandiya '',"Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1.0,en,India,
1250093215627145221,@DDNational please stop repeating episode of #Ramayana,DDNational please stop repeating episode Ramayana,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,India,
1250093201584615424,"Teachings of the Day:

#Ramayana
-&gt; सत्य एक होता है और उसका व्याख्यान भी एक ही होता है। 

#Mahabharata
-&gt; शांत रहने… https://t.co/jvIO4GGxdT",Teachings Day Ramayana gt Mahabharata gt,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,Mumbai | New Delhi,
1250093161109585920,Someone ask Aslam Khan to shoot new episodes of #Ramayana alone for us since @DDNational has forgotten the sequence… https://t.co/Iy565UQ4Qo,Someone ask Aslam Khan shoot new episodes Ramayana alone us since DDNational forgotten sequence,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,India,
1250093149029945344,May I know who are those persons who demanded re-telecast of #Ramayan #Ramayana morning episode. 😡😡😡,May I know persons demanded re-telecast Ramayan Ramayana morning episode,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,India,
1250093049683701761,"10 baje Modiji bhi repeat aayenge kya??

#Ramayanam #Ramayana #Ramayan #RamayanOnDDNational #Ramayanmemes… https://t.co/dGeIJyshl3",10 hrs Modi also repeat will do Ramaynan Ramayana Ramayana Ramaynanddnsnl Ramaynmems,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,,
1250093040577830912,"Leadership Lessons from Ramayana - 6 day Online workshop for Children

For more detail : https://t.co/ZiczQRPOSh

P… https://t.co/oKS5INK3KB",Leadership Lessons Ramayana 6 day Online workshop Children For detail P,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1250093008491438080,"Today i missed morning episode of #Ramayana and @DDNational retelecasted it.😅😅😅
Luck level : &gt;9999999
#RamayanOnDDNational #Ramayan",Today missed morning episode Ramayana DDNational retelecasted Luck level gt 9999999 RamayanOnDDNational Ramayan,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1250093006549438465,@DDNational again there is some error for the telecast of ramayana the same episode are broadcasting which already shown morning show .,DDNational error telecast ramayana episode broadcasting already shown morning show,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Mumbai, India",
1250093002846081024,"After watching #Ramayana for a week ..... kids mimicking Shree Ram :-)
@arungovil12 @ChikhliaDipika https://t.co/kGak9XXYFb",After watching Ramayana week ... .. kids mimicking Shree Ram arungovil12 ChikhliaDipika,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,meri jaan Hindustan,
1250092903080161286,"@prasarbharati @DDNational @shashidigital #Ramayana Todays Ramayan Episode Repeated Again , Same episode ran in mor… https://t.co/2yG0bAIiJC",prasarbharati DDNational shashidigital Ramayana Todays Ramayan Episode Repeated Again Same episode ran mor,"Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125,en,,
1250092881429139458,"@DDNational request to Doordarshan, don't repeat past episode of Ramayana, we have already seen today's ongoing episode at morning.",DDNational request Doordarshan n't repeat past episode Ramayana already seen today 's ongoing episode morning,"Sentiment(polarity=-0.25, subjectivity=0.25)",-0.25,0.25,en,,
1250092863288791040,एक दौर वह भी था जब दूरदर्शन पर एक विज्ञापन आता था जिसमें गाना बजते ही परिवार के सब सदस्य बगले झांकने लगते थे।... ब… https://t.co/uwgxXRAKqX,...,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,हिन्दुस्तान,
1250092819546439686,@AzhariAnggi tkp tadi sore lampu merah ramayana rapak mau ngambil sudah lampu hijau wkwkwk,AzhariAnggi the scene this afternoon rapak ramayana red light green light would ngambil already wkwkwk,"Sentiment(polarity=0.15000000000000002, subjectivity=0.425)",0.15000000000000002,0.425,in,Indonesia,
1250092815163330560,"Jab tak Ramayan and Mahabharat khatam nahi hota tab tak lock down chalta rahega.
#covidindia 
#Ramayana 
#Mahabharat","As long walks lock long epic Mahabharata does not end Kvidindia Ramayana, Mahabharata","Sentiment(polarity=0.0, subjectivity=0.4000000000000001)",0.0,0.4000000000000001,hi,India,
1250092799044665345,"I prefer Mahabharat over Ramayan.
#Mahabharat 
#Ramayana","Mr. Prefer Mahabharata, Ramayana, Mahabharata, Ramayana","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,tl,,
1250092795601154050,@ImMiss_Avaa Nepal wale bhi Ramayana dekhte kya?😍,Immiss_awa Nepal is also watch Ramayana,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,"Bengaluru, India",
1250092778991697922,"@DDNational Repeating because
Subah dikhaye shaam dikhaye ek hi episode baar baar dikhaye 
#JaiShreeRam #JaiShriRam #Ramayana #askDD #Amul",Ddnsnl Repeting morning show evening show the same episodes repeatedly shown Jaysriram Jaysriram Ramayn Askd Amul,"Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125,hi,Mumbai,"[[67.997691, 6.622513], [97.170672, 6.622513], [97.170672, 33.254896], [67.997691, 33.254896]]"
1250092775908859906,@DDNational @prasarbharati why are you cheating on the audience? The episode of the morning ramayana is being shown at night,DDNational prasarbharati cheating audience The episode morning ramayana shown night,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Dhanbad, India",
1250092751909076992,"*DD National repeats morning's Ramayana episode.

Me being it's die-hard fan - https://t.co/sMTdXXulh6",*DD National repeats morning 's Ramayana episode Me 's die-hard fan,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,Jio tower k pass,
1250092728656035840,"वाह लॉक डाउन बढ़ाया तो रामायण का एपिसोड ही दोहरा दिया, वाह दूरदर्शन वाह 😭😭🙏 #Ramayan #Ramayana",Ramayan Ramayana,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,,
1250092719512391681,"गन्ना बो देंगे गन्ना।
This is all time mode of Laxman in Ramayana.",This time mode Laxman Ramayana,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,und,"Amreli, India",
