id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1248306221125218305,Rick and Morty is really something you don't watch around kids man 😂,Rick Morty really something n't watch around kids man,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,Veni•Vidi•Vici,
1248305316032282627,@carl_carlington @Framed_Warrior @CaseyExplosion The three you mentioned kind of go out of their way to show they'r… https://t.co/tYRXrRwOom,carl_carlington Framed_Warrior CaseyExplosion The three mentioned kind go way show r,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,en,"Wisconsin, USA",
1248305066370531330,En un episodio de Rick and Morty donde aparecen los monogatrones y dicen “su especie esta entrenada para buscar el… https://t.co/TP0y5E8eDY,In an episode of Rick Morty shown monogatrones say where their kind is trained to look for,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,es,     Panama ,
1248304781510279168,"rick and morty, futurama and bojack horseman https://t.co/vOcNox8wgc",rick morty futurama bojack horseman,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,indianapolis,"[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]"
1248304735377031169,@abelica88 @Luigi_MKT @CiceroSinAcento @DanielHoracioEJ @wichomanolo @Storm__Marketer @Mon_moncs @lily_v13… https://t.co/I8XZGnNfn8,abelica88 Luigi_MKT CiceroSinAcento DanielHoracioEJ wichomanolo Storm__Marketer Mon_moncs lily_v13,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,Mexico,"[[-99.1919955, 19.357102], [-99.1309649, 19.357102], [-99.1309649, 19.4041235], [-99.1919955, 19.4041235]]"
1248304425522941953,least they can do is start airing the rest of season 4 of rick and morty during lockdown like damn.,least start airing rest season 4 rick morty lockdown like damn,"Sentiment(polarity=-0.3, subjectivity=0.4)",-0.3,0.4,en,Mars,
1248304348863528966,"Note: I don't like Rick and Morty, I just though this would be a funny idea.",Note I n't like Rick Morty I though would funny idea,"Sentiment(polarity=0.25, subjectivity=1.0)",0.25,1.0,en,South Wales,
1248304197059186688,quero 5 temporada de Rick and morty logo porra,I want 5 Vacation Rick morty soon fucking,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,pt,Brasil,
1248304004318343169,0 taste if you like anything over Rick and Morty fight me,0 taste like anything Rick Morty fight,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,Valley of the shadow of Death,
1248303308126720002,rick and morty https://t.co/4kLLGoqArq,rick morty,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,girls' generation ♡ exoplanet,
